team|player|observations|score|expectedScore|scoreDiff
Fremantle|Nat Fyfe|28|56|95.37317|-39.37317
Western Bulldogs|Aaron Naughton|92|302|338.3554413|-36.3554413000001
Geelong Cats|Shaun Higgins|25|36|66.592741|-30.592741
Richmond|Shai Bolton|50|150|173.872893|-23.872893
Gold Coast Suns|Chris Burgess|26|70|92.752076|-22.752076
Melbourne|Angus Brayshaw|16|19|41.372537|-22.372537
Gold Coast Suns|Ben Ainsworth|39|90|111.2447622|-21.2447622
Hawthorn|Jacob Koschitzke|54|180|200.856827|-20.856827
Richmond|Kane Lambert|18|40|60.847222|-20.847222
West Coast Eagles|Zac Langdon|21|43|63.2562917|-20.2562917
Adelaide Crows|Billy Frampton|15|23|43.203644|-20.203644
Collingwood|Brody Mihocek|73|228|248.1271957|-20.1271957000001
Melbourne|Clayton Oliver|30|71|91.040112|-20.040112
Carlton|Jack Silvagni|27|67|86.4038|-19.4038
Gold Coast Suns|David Swallow|18|43|61.967529|-18.967529
Richmond|Tom J. Lynch|71|234|252.2339087|-18.2339087000001
Collingwood|Mason Cox|17|56|74.006973|-18.006973
St Kilda|Ben Long|11|20|37.626558|-17.626558
Western Bulldogs|Laitham Vandermeer|14|38|54.987455|-16.987455
St Kilda|Max King|76|256|272.825133|-16.8251330000001
GWS Giants|Bobby Hill|38|96|112.630915|-16.630915
Melbourne|Max Gawn|30|74|90.112117|-16.112117
Gold Coast Suns|Sam Flanders|14|29|44.7963417|-15.7963417
GWS Giants|Josh Kelly|43|110|125.497572|-15.497572
Geelong Cats|Luke Dahlhaus|25|57|72.155614|-15.155614
Adelaide Crows|Lachlan Murphy|30|69|84.130526|-15.130526
St Kilda|Dan Butler|42|125|140.057849|-15.057849
Essendon|Sam Draper|11|17|31.973229|-14.973229
Fremantle|Sean Darcy|32|84|98.7340279|-14.7340279
Western Bulldogs|Lachlan McNeil|18|50|64.7197097|-14.7197097
Carlton|Zac Fisher|16|32|46.512011|-14.512011
GWS Giants|Stephen Coniglio|8|10|24.405894|-14.405894
Port Adelaide|Xavier Duursma|12|21|34.8330973|-13.8330973
North Melbourne|Luke Davies-Uniacke|16|29|42.7737167|-13.7737167
North Melbourne|Jaidyn Stephenson|42|106|119.7718817|-13.7718817
North Melbourne|Jack Mahony|19|58|71.685151|-13.685151
Essendon|Aaron Francis|10|18|31.5841447|-13.5841447
St Kilda|Josh Battle|13|25|38.506346|-13.506346
Geelong Cats|Max Holmes|8|12|24.791667|-12.791667
Geelong Cats|Brandan Parfitt|21|55|67.680639|-12.680639
Melbourne|Ben Brown|39|129|141.6524263|-12.6524263
Carlton|Tom De Koning|17|46|58.349745|-12.349745
Western Bulldogs|Mitch Hannan|27|77|89.332762|-12.332762
Essendon|Matt Guelfi|18|40|52.042404|-12.042404
Carlton|Lachie Fogarty|16|42|53.903326|-11.903326
Fremantle|Lachie Schultz|43|149|160.8012323|-11.8012323
Fremantle|Travis Colyer|41|108|119.676161|-11.676161
Essendon|Cale Hooker|61|215|226.345119|-11.3451190000001
North Melbourne|Curtis Taylor|21|47|58.130584|-11.130584
Brisbane Lions|Jarryd Lyons|24|60|70.9332403|-10.9332403
Melbourne|Jack Viney|10|30|40.774359|-10.774359
Geelong Cats|Cameron Guthrie|16|31|41.6170737|-10.6170737
Adelaide Crows|Lachlan Sholl|10|25|35.542366|-10.542366
Port Adelaide|Ollie Wines|26|66|76.2344567|-10.2344567
Brisbane Lions|Hugh McCluggage|45|112|122.1614527|-10.1614527
Carlton|Jack Newnes|15|32|42.134838|-10.134838
Richmond|Matthew Parker|8|21|31.13041|-10.13041
Collingwood|Nathan Murphy|6|9|19.08772|-10.08772
Brisbane Lions|Joe Daniher|87|294|303.9767223|-9.97672230000006
Western Bulldogs|Anthony Scott|21|60|69.952271|-9.952271
Collingwood|Oliver Henry|17|49|58.817977|-9.81797699999999
Essendon|Archie Perkins|24|68|77.722783|-9.72278300000001
Adelaide Crows|Elliott Himmelberg|14|48|57.656358|-9.656358
Collingwood|Scott Pendlebury|12|28|37.335898|-9.335898
Gold Coast Suns|Jack Lukosius|18|29|38.3213647|-9.3213647
Hawthorn|Mitch Lewis|37|142|151.31104|-9.31104000000002
Richmond|Marlion Pickett|9|16|25.181429|-9.181429
Brisbane Lions|Oscar McInerney|14|41|50.127878|-9.127878
Carlton|Charlie Curnow|8|11|19.935371|-8.935371
Western Bulldogs|Riley Garcia|11|27|35.519444|-8.519444
GWS Giants|Brent Daniels|9|16|24.419088|-8.419088
Collingwood|Josh Thomas|25|80|88.3967163|-8.39671629999999
